Zipcode,Page,NewUsed,Year,Make,MSRP,Dealer_Price,Fuel_Type,City_MPG,Highway_MPG,Drivetrain,Liters,V,Mileage,Customer_Review,URL,Make_Tier,Standard_Ext_Color,Standard_Int_Color,Transmission_Type,Gears
7097,1,USED,2018,smart,,13800.0,Electric,124.0,94.0,RWD,2.3,2.3,8667.0,4.2,https://www.cars.com/vehicledetail/detail/806243692/overview/,Tier_4,black,orange,automatic,1
7097,1,NEW,2020,Nissan,,32679.0,Gasoline,25.0,32.0,AWD,2.0,2.0,8.0,4.7,https://www.cars.com/vehicledetail/detail/795301531/overview/,Tier_1,white,gray,automatic,NA
7097,1,USED,2015,Nissan,,18500.0,Gasoline,12.0,17.0,4WD,5.6,5.6,27182.0,4.9,https://www.cars.com/vehicledetail/detail/783816397/overview/,Tier_1,black,OTHER,automatic,5
7097,1,USED,2009,Volvo,,3995.0,Gasoline,25.0,31.0,FWD,3.2,3.2,116964.0,4.6,https://www.cars.com/vehicledetail/detail/797562424/overview/,Tier_2,blue,OTHER,automatic,6
7097,1,USED,2017,INFINITI,,8500.0,Gasoline,17.0,24.0,AWD,3.7,3.7,8444.0,4.6,https://www.cars.com/vehicledetail/detail/808090635/overview/,Tier_2,black,NA,automatic,7
7097,1,USED,2015,RAM,,18990.0,Diesel,25.0,31.0,FWD,3.0,3.0,91675.0,,https://www.cars.com/vehicledetail/detail/799089237/overview/,Tier_1,black,black,automatic,6
7097,1,USED,2014,GMC,,5990.0,Gasoline,22.0,32.0,AWD,2.4,2.4,64459.0,4.6,https://www.cars.com/vehicledetail/detail/804551456/overview/,Tier_1,silver,OTHER,automatic,6
7097,1,USED,2002,Mercury,,3997.0,Gasoline,25.0,31.0,RWD,4.6,4.6,57492.0,4.7,https://www.cars.com/vehicledetail/detail/797260727/overview/,Tier_3,red,brown,automatic,4
7097,1,USED,2018,Lincoln,,61888.0,Gasoline,25.0,31.0,4WD,3.5,3.5,35409.0,5.0,https://www.cars.com/vehicledetail/detail/801283494/overview/,Tier_3,white,OTHER,automatic,10
7097,1,USED,2006,Lexus,,13224.0,Gasoline,19.0,25.0,RWD,4.3,4.3,106105.0,4.8,https://www.cars.com/vehicledetail/detail/805060411/overview/,Tier_2,blue,OTHER,automatic,6
7097,1,USED,2019,Hyundai,,28790.0,Gasoline,18.0,23.0,FWD,2.3,2.3,24858.0,4.8,https://www.cars.com/vehicledetail/detail/801313309/overview/?isShippableInsideSearchRadius,Tier_1,OTHER,gray,automatic,NA
7097,1,USED,2010,Acura,,14895.0,Gasoline,16.0,23.0,AWD,3.7,3.7,115511.0,4.8,https://www.cars.com/vehicledetail/detail/805214653/overview/,Tier_3,gray,OTHER,automatic,6
7097,2,NEW,2020,Chevrolet,,21749.0,Gasoline,26.0,31.0,AWD,1.4,1.4,0.0,4.6,https://www.cars.com/vehicledetail/detail/796123794/overview/,Tier_1,white,black,automatic,6
7097,2,USED,2014,RAM,,17595.0,Gasoline,25.0,31.0,FWD,3.6,3.6,76050.0,3.0,https://www.cars.com/vehicledetail/detail/806454287/overview/,Tier_1,gray,gray,automatic,6
7097,2,NEW,2020,Ford,,23790.0,Gasoline,27.0,29.0,4WD,2.3,2.3,0.0,4.2,https://www.cars.com/vehicledetail/detail/788028292/overview/,Tier_1,black,black,automatic,NA
7097,2,USED,2013,Volkswagen,,9895.0,Gasoline,21.0,32.0,FWD,2.0,2.0,42788.0,4.6,https://www.cars.com/vehicledetail/detail/802862359/overview/,Tier_2,brown,brown,automatic,6
7097,2,NEW,2020,Nissan,,28676.0,Gasoline,26.0,33.0,AWD,2.5,2.5,6.0,4.6,https://www.cars.com/vehicledetail/detail/801148230/overview/,Tier_1,silver,black,automatic,NA
7097,2,NEW,2019,Mitsubishi,,38420.0,Hybrid,25.0,31.0,4WD,2.0,2.0,11.0,4.6,https://www.cars.com/vehicledetail/detail/776039500/overview/,Tier_2,white,gray,automatic,1
7097,2,NEW,2020,Ford,,23790.0,Gasoline,27.0,29.0,4WD,2.3,2.3,0.0,4.2,https://www.cars.com/vehicledetail/detail/799139036/overview/,Tier_1,black,black,automatic,NA
7097,2,NEW,2020,Ford,,23790.0,Gasoline,27.0,29.0,4WD,2.3,2.3,0.0,4.2,https://www.cars.com/vehicledetail/detail/788713951/overview/,Tier_1,black,black,automatic,NA
7097,2,USED,2016,Nissan,,14900.0,Gasoline,25.0,31.0,RWD,4.0,4.0,58936.0,5.0,https://www.cars.com/vehicledetail/detail/806482327/overview/,Tier_1,white,gray,automatic,5
7097,2,NEW,2020,Chevrolet,,21749.0,Gasoline,26.0,31.0,AWD,1.4,1.4,0.0,4.6,https://www.cars.com/vehicledetail/detail/793667933/overview/,Tier_1,gray,black,automatic,6
7097,2,USED,2019,Cadillac,,26500.0,Gasoline,24.0,30.0,FWD,2.0,2.0,717.0,3.2,https://www.cars.com/vehicledetail/detail/792763411/overview/,Tier_1,blue,black,automatic,9
7097,2,NEW,2020,Nissan,,30480.0,Gasoline,26.0,33.0,AWD,2.5,2.5,6.0,4.6,https://www.cars.com/vehicledetail/detail/800600267/overview/,Tier_1,white,black,automatic,NA
7097,2,USED,2009,Toyota,,2900.0,Gasoline,29.0,36.0,FWD,1.5,1.5,83699.0,4.7,https://www.cars.com/vehicledetail/detail/801113488/overview/,Tier_1,black,black,automatic,4
7097,2,USED,2019,Chevrolet,,17500.0,Gasoline,22.0,32.0,FWD,2.0,2.0,926.0,4.4,https://www.cars.com/vehicledetail/detail/801282322/overview/,Tier_1,white,black,automatic,9
7097,2,USED,2017,Ford,,9999.0,Gasoline,25.0,31.0,FWD,2.3,2.3,58277.0,4.3,https://www.cars.com/vehicledetail/detail/808213729/overview/,Tier_1,white,black,automatic,NA
7097,2,NEW,2020,Chevrolet,,21749.0,Gasoline,26.0,31.0,AWD,1.4,1.4,0.0,4.6,https://www.cars.com/vehicledetail/detail/794606426/overview/,Tier_1,white,black,automatic,6
7097,2,NEW,2020,Chevrolet,,20273.0,Gasoline,26.0,31.0,FWD,1.4,1.4,0.0,4.6,https://www.cars.com/vehicledetail/detail/795954494/overview/,Tier_1,gray,black,automatic,6
7097,2,USED,2018,smart,,13800.0,Electric,124.0,94.0,RWD,2.3,2.3,8667.0,4.2,https://www.cars.com/vehicledetail/detail/806243692/overview/,Tier_4,black,orange,automatic,1
7097,2,USED,2019,Volkswagen,,17500.0,Gasoline,25.0,32.0,FWD,2.0,2.0,16.0,4.9,https://www.cars.com/vehicledetail/detail/791171707/overview/,Tier_2,white,black,manual,6
7097,2,USED,2002,Mercury,,3997.0,Gasoline,25.0,31.0,RWD,4.6,4.6,57492.0,4.7,https://www.cars.com/vehicledetail/detail/797260727/overview/,Tier_3,red,brown,automatic,4
7097,2,USED,2018,Mercedes-Benz,,59950.0,Gasoline,15.0,22.0,AWD,4.0,4.0,11001.0,5.0,https://www.cars.com/vehicledetail/detail/802330330/overview/,Tier_2,black,red,automatic,9
7097,2,USED,2009,Volvo,,3995.0,Gasoline,25.0,31.0,FWD,3.2,3.2,116964.0,4.6,https://www.cars.com/vehicledetail/detail/797562424/overview/,Tier_2,blue,OTHER,automatic,6
7097,2,USED,2016,Mercedes-Benz,,99000.0,Gasoline,13.0,20.0,RWD,2.3,2.3,27900.0,,https://www.cars.com/vehicledetail/detail/791614831/overview/,Tier_2,gray,black,automatic,NA
7097,2,USED,2010,Acura,,13985.0,Gasoline,16.0,23.0,AWD,3.7,3.7,98665.0,4.8,https://www.cars.com/vehicledetail/detail/804149495/overview/,Tier_3,gray,black,automatic,6
7097,2,NEW,2020,Chevrolet,,22116.0,Gasoline,26.0,31.0,AWD,1.4,1.4,0.0,4.6,https://www.cars.com/vehicledetail/detail/794606423/overview/,Tier_1,red,black,automatic,6
7097,2,USED,2018,Toyota,,16888.0,Gasoline,27.0,31.0,FWD,2.0,2.0,36624.0,4.7,https://www.cars.com/vehicledetail/detail/805051540/overview/,Tier_1,black,black,automatic,NA
7097,2,NEW,2020,Chevrolet,,16095.0,Gasoline,29.0,38.0,FWD,1.4,1.4,10.0,4.9,https://www.cars.com/vehicledetail/detail/806849938/overview/,Tier_1,gray,black,automatic,NA
7097,2,USED,2014,Ford,,5545.0,Gasoline,22.0,34.0,FWD,1.5,1.5,104259.0,4.7,https://www.cars.com/vehicledetail/detail/792973883/overview/,Tier_1,silver,NA,automatic,6
7097,2,USED,2006,Mitsubishi,,25999.0,Gasoline,19.0,25.0,AWD,2.0,2.0,95225.0,4.7,https://www.cars.com/vehicledetail/detail/794746810/overview/,Tier_2,blue,black,manual,5
