Zipcode,NewUsed,Year,Make,Dealer_Price,Fuel_Type,City_MPG,Highway_MPG,Drivetrain,Liters,V,Mileage,Customer_Review,Make_Tier,Standard_Ext_Color,Standard_Int_Color,Transmission_Type,Gears
5,1,2017,9,59995.0,1,13.0,17.0,1,5.5,5.5,31908.0,5.0,2,4,2,1,7.0
5,1,2019,5,12900.0,1,26.0,31.0,0,1.4,1.4,36.0,4.3,1,6,2,1,6.0
5,1,2018,44,62495.0,1,16.0,26.0,3,5.0,5.0,36079.0,4.8,2,6,1,1,10.0
5,1,2016,9,42995.0,1,16.0,26.0,1,4.7,4.7,38152.0,4.9,2,7,8,1,7.0
5,1,2019,21,17900.0,1,24.0,32.0,0,2.0,2.0,20.0,4.5,2,9,2,0,6.0
5,1,2006,34,6495.0,1,18.0,26.0,1,3.5,3.5,100585.0,4.5,3,2,8,1,5.0
5,1,2005,15,4697.0,1,18.0,25.0,3,4.6,4.6,73280.0,4.7,3,7,0,1,4.0
5,0,2019,5,20813.0,1,26.0,35.0,0,1.4,1.4,20.0,4.6,1,4,2,1,6.0
5,1,2015,47,14995.0,1,11.0,17.0,3,4.8,4.8,56673.0,4.5,1,9,0,1,6.0
5,1,2016,26,37444.0,1,25.0,31.0,2,3.0,3.0,54192.0,4.6,4,4,2,1,8.0
5,1,2011,5,3795.0,1,27.0,35.0,0,1.6,1.6,65900.0,3.2,1,0,2,1,4.0
5,1,2017,41,64995.0,1,16.0,24.0,1,4.4,4.4,42347.0,5.0,2,9,8,1,8.0
5,1,2017,2,20888.0,1,15.0,22.0,1,3.6,3.6,42674.0,4.8,1,2,1,1,6.0
5,1,2013,44,33800.0,1,12.0,17.0,2,5.7,5.7,52006.0,4.9,2,9,1,1,6.0
5,1,2019,41,69800.0,1,20.0,25.0,1,3.0,3.0,9853.0,4.0,2,4,6,1,8.0
5,1,2018,14,12900.0,1,19.0,25.0,0,3.6,3.6,51.0,4.7,1,0,2,1,4.0
5,1,2014,4,29990.0,1,19.0,27.0,3,5.0,5.0,68790.0,5.0,2,10,1,1,8.0
5,1,2016,40,25980.0,1,18.0,24.0,1,3.7,3.7,36462.0,5.0,2,9,1,1,7.0
5,1,2018,5,12000.0,1,27.0,36.0,0,1.5,1.5,406.0,4.8,1,2,2,1,6.0
5,1,2012,14,4995.0,1,21.0,30.0,0,2.4,2.4,87142.0,4.3,1,9,2,1,4.0
5,1,2017,37,19928.0,4,25.0,31.0,3,3.2,3.2,114422.0,4.3,1,4,2,1,6.0
5,1,2019,19,25500.0,1,24.0,36.0,0,2.0,2.0,11.0,5.0,2,9,1,1,8.0
5,1,2018,11,25994.0,1,19.0,25.0,1,2.0,2.0,28492.0,4.9,3,4,2,1,6.0
5,1,2017,9,32995.0,1,22.0,27.0,1,2.0,2.0,39344.0,4.4,2,4,4,1,9.0
5,1,2007,20,29995.0,1,25.0,31.0,2,6.0,6.0,44830.0,4.5,4,8,2,1,4.0
5,1,2009,4,20990.0,1,15.0,23.0,3,4.2,4.2,75607.0,4.6,2,0,8,1,6.0
5,1,2019,5,28495.0,2,128.0,110.0,0,2.3,2.3,10.0,4.6,1,3,0,1,1.0
5,1,2003,47,1995.0,1,15.0,20.0,2,4.2,4.2,162185.0,4.4,1,4,2,1,4.0
5,1,2006,30,78542.0,1,13.0,17.0,3,4.3,4.3,32291.0,5.0,4,2,1,1,6.0
5,0,2019,14,24740.0,1,19.0,25.0,0,2.4,2.4,6.0,3.8,1,0,2,1,4.0
5,0,2020,5,20056.0,1,26.0,31.0,1,1.4,1.4,0.0,4.6,1,9,2,1,6.0
5,1,2013,42,18975.0,1,25.0,31.0,3,4.0,4.0,64298.0,4.8,1,7,0,1,5.0
5,1,2007,4,13890.0,1,18.0,27.0,3,4.2,4.2,82513.0,4.8,2,3,1,1,6.0
5,1,2005,0,4995.0,1,25.0,31.0,0,3.3,3.3,76995.0,4.5,1,7,0,1,5.0
5,1,2017,9,87950.0,1,16.0,24.0,1,4.7,4.7,30344.0,4.0,2,4,2,1,9.0
5,1,2016,31,19950.0,1,15.0,23.0,3,5.0,5.0,50724.0,4.8,1,4,1,1,8.0
